Finite Time (ns): ,601,,Fuzzy Time (ns): ,492470
Finite Time (ns): ,300,,Fuzzy Time (ns): ,356657
Finite Time (ns): ,601,,Fuzzy Time (ns): ,329915
Finite Time (ns): ,300,,Fuzzy Time (ns): ,351248
Finite Time (ns): ,301,,Fuzzy Time (ns): ,345840
Finite Time (ns): ,601,,Fuzzy Time (ns): ,388807
Finite Time (ns): ,601,,Fuzzy Time (ns): ,470234
Finite Time (ns): ,601,,Fuzzy Time (ns): ,493070
Finite Time (ns): ,301,,Fuzzy Time (ns): ,367474
Finite Time (ns): ,601,,Fuzzy Time (ns): ,248188
Finite Time (ns): ,601,,Fuzzy Time (ns): ,331418
Finite Time (ns): ,902,,Fuzzy Time (ns): ,442892
Finite Time (ns): ,601,,Fuzzy Time (ns): ,587117
Finite Time (ns): ,301,,Fuzzy Time (ns): ,238272
Finite Time (ns): ,601,,Fuzzy Time (ns): ,377690
Finite Time (ns): ,601,,Fuzzy Time (ns): ,387906
Finite Time (ns): ,601,,Fuzzy Time (ns): ,290854
Finite Time (ns): ,601,,Fuzzy Time (ns): ,351549
Finite Time (ns): ,601,,Fuzzy Time (ns): ,382497
Finite Time (ns): ,601,,Fuzzy Time (ns): ,326310
Finite Time (ns): ,300,,Fuzzy Time (ns): ,368675
Finite Time (ns): ,601,,Fuzzy Time (ns): ,263512
Finite Time (ns): ,902,,Fuzzy Time (ns): ,459717
Finite Time (ns): ,601,,Fuzzy Time (ns): ,427868
Finite Time (ns): ,901,,Fuzzy Time (ns): ,532732
Finite Time (ns): ,601,,Fuzzy Time (ns): ,645408
Finite Time (ns): ,601,,Fuzzy Time (ns): ,761089
Finite Time (ns): ,901,,Fuzzy Time (ns): ,691079
Finite Time (ns): ,300,,Fuzzy Time (ns): ,623173
Finite Time (ns): ,601,,Fuzzy Time (ns): ,662835
Finite Time (ns): ,902,,Fuzzy Time (ns): ,852130
Finite Time (ns): ,601,,Fuzzy Time (ns): ,752976
Finite Time (ns): ,601,,Fuzzy Time (ns): ,685070
Finite Time (ns): ,601,,Fuzzy Time (ns): ,661033
Finite Time (ns): ,601,,Fuzzy Time (ns): ,703399
Finite Time (ns): ,601,,Fuzzy Time (ns): ,761990
Finite Time (ns): ,300,,Fuzzy Time (ns): ,656826
Finite Time (ns): ,601,,Fuzzy Time (ns): ,610854
Finite Time (ns): ,601,,Fuzzy Time (ns): ,647511
Finite Time (ns): ,601,,Fuzzy Time (ns): ,603342
Finite Time (ns): ,601,,Fuzzy Time (ns): ,616563
Finite Time (ns): ,301,,Fuzzy Time (ns): ,608751
Finite Time (ns): ,14122,,Fuzzy Time (ns): ,607849
Finite Time (ns): ,601,,Fuzzy Time (ns): ,661633
Finite Time (ns): ,601,,Fuzzy Time (ns): ,539042
Finite Time (ns): ,902,,Fuzzy Time (ns): ,694985
Finite Time (ns): ,301,,Fuzzy Time (ns): ,510798
Finite Time (ns): ,601,,Fuzzy Time (ns): ,590422
Finite Time (ns): ,601,,Fuzzy Time (ns): ,678159
Finite Time (ns): ,301,,Fuzzy Time (ns): ,700093
Finite Time (ns): ,300,,Fuzzy Time (ns): ,322704
Finite Time (ns): ,601,,Fuzzy Time (ns): ,492770
Finite Time (ns): ,1803,,Fuzzy Time (ns): ,939267
Finite Time (ns): ,902,,Fuzzy Time (ns): ,523418
Finite Time (ns): ,601,,Fuzzy Time (ns): ,298366
Finite Time (ns): ,601,,Fuzzy Time (ns): ,358159
Finite Time (ns): ,300,,Fuzzy Time (ns): ,340732
Finite Time (ns): ,601,,Fuzzy Time (ns): ,347643
Finite Time (ns): ,601,,Fuzzy Time (ns): ,355155
Finite Time (ns): ,600,,Fuzzy Time (ns): ,331718
Finite Time (ns): ,300,,Fuzzy Time (ns): ,340432
Finite Time (ns): ,601,,Fuzzy Time (ns): ,347643
Finite Time (ns): ,601,,Fuzzy Time (ns): ,279136
Finite Time (ns): ,601,,Fuzzy Time (ns): ,360864
Finite Time (ns): ,15323,,Fuzzy Time (ns): ,309183
Finite Time (ns): ,13521,,Fuzzy Time (ns): ,326309
Finite Time (ns): ,601,,Fuzzy Time (ns): ,392112
Finite Time (ns): ,301,,Fuzzy Time (ns): ,338929
Finite Time (ns): ,601,,Fuzzy Time (ns): ,499680
Finite Time (ns): ,902,,Fuzzy Time (ns): ,478948
Finite Time (ns): ,901,,Fuzzy Time (ns): ,328113
Finite Time (ns): ,601,,Fuzzy Time (ns): ,413145
Finite Time (ns): ,601,,Fuzzy Time (ns): ,371380
Finite Time (ns): ,300,,Fuzzy Time (ns): ,281239
Finite Time (ns): ,901,,Fuzzy Time (ns): ,354854
Finite Time (ns): ,601,,Fuzzy Time (ns): ,341633
Finite Time (ns): ,901,,Fuzzy Time (ns): ,323906
Finite Time (ns): ,300,,Fuzzy Time (ns): ,522516
Finite Time (ns): ,601,,Fuzzy Time (ns): ,327211
Finite Time (ns): ,601,,Fuzzy Time (ns): ,344939
Finite Time (ns): ,600,,Fuzzy Time (ns): ,397521
Finite Time (ns): ,300,,Fuzzy Time (ns): ,349445
Finite Time (ns): ,601,,Fuzzy Time (ns): ,419755
Finite Time (ns): ,601,,Fuzzy Time (ns): ,251793
Finite Time (ns): ,901,,Fuzzy Time (ns): ,356356
Finite Time (ns): ,601,,Fuzzy Time (ns): ,655925
Finite Time (ns): ,601,,Fuzzy Time (ns): ,378291
Finite Time (ns): ,301,,Fuzzy Time (ns): ,394516
Finite Time (ns): ,601,,Fuzzy Time (ns): ,352150
Finite Time (ns): ,601,,Fuzzy Time (ns): ,352751
Finite Time (ns): ,601,,Fuzzy Time (ns): ,378591
Finite Time (ns): ,601,,Fuzzy Time (ns): ,412845
Finite Time (ns): ,301,,Fuzzy Time (ns): ,675756
Finite Time (ns): ,300,,Fuzzy Time (ns): ,566384
Finite Time (ns): ,901,,Fuzzy Time (ns): ,660732
Finite Time (ns): ,601,,Fuzzy Time (ns): ,659830
Finite Time (ns): ,902,,Fuzzy Time (ns): ,572995
Finite Time (ns): ,601,,Fuzzy Time (ns): ,643304
Finite Time (ns): ,300,,Fuzzy Time (ns): ,607849
Finite Time (ns): ,601,,Fuzzy Time (ns): ,646008
Finite Time (ns): ,601,,Fuzzy Time (ns): ,646610
Finite Time (ns): ,300,,Fuzzy Time (ns): ,619568
Finite Time (ns): ,601,,Fuzzy Time (ns): ,607850
Finite Time (ns): ,901,,Fuzzy Time (ns): ,627981
Finite Time (ns): ,600,,Fuzzy Time (ns): ,663436
Finite Time (ns): ,601,,Fuzzy Time (ns): ,705501
Finite Time (ns): ,601,,Fuzzy Time (ns): ,615060
Finite Time (ns): ,301,,Fuzzy Time (ns): ,530929
Finite Time (ns): ,601,,Fuzzy Time (ns): ,608150
Finite Time (ns): ,300,,Fuzzy Time (ns): ,628281
Finite Time (ns): ,301,,Fuzzy Time (ns): ,620469
Finite Time (ns): ,300,,Fuzzy Time (ns): ,582310
Finite Time (ns): ,300,,Fuzzy Time (ns): ,649314
Finite Time (ns): ,300,,Fuzzy Time (ns): ,658628
Finite Time (ns): ,300,,Fuzzy Time (ns): ,335624
Finite Time (ns): ,300,,Fuzzy Time (ns): ,544750
Finite Time (ns): ,601,,Fuzzy Time (ns): ,334422
Finite Time (ns): ,301,,Fuzzy Time (ns): ,312187
Finite Time (ns): ,601,,Fuzzy Time (ns): ,281239
Finite Time (ns): ,601,,Fuzzy Time (ns): ,337126
Finite Time (ns): ,15624,,Fuzzy Time (ns): ,372883
Finite Time (ns): ,300,,Fuzzy Time (ns): ,331118
Finite Time (ns): ,601,,Fuzzy Time (ns): ,403830
Finite Time (ns): ,601,,Fuzzy Time (ns): ,415249
Finite Time (ns): ,601,,Fuzzy Time (ns): ,516506
Finite Time (ns): ,301,,Fuzzy Time (ns): ,426065
Finite Time (ns): ,601,,Fuzzy Time (ns): ,458516
Finite Time (ns): ,301,,Fuzzy Time (ns): ,487662
Finite Time (ns): ,300,,Fuzzy Time (ns): ,362967
Finite Time (ns): ,601,,Fuzzy Time (ns): ,347643
Finite Time (ns): ,601,,Fuzzy Time (ns): ,349746
Finite Time (ns): ,601,,Fuzzy Time (ns): ,343436
Finite Time (ns): ,601,,Fuzzy Time (ns): ,360863
Finite Time (ns): ,300,,Fuzzy Time (ns): ,344338
Finite Time (ns): ,601,,Fuzzy Time (ns): ,365371
Finite Time (ns): ,301,,Fuzzy Time (ns): ,344037
Finite Time (ns): ,300,,Fuzzy Time (ns): ,351249
Finite Time (ns): ,301,,Fuzzy Time (ns): ,396319
Finite Time (ns): ,301,,Fuzzy Time (ns): ,358159
Finite Time (ns): ,300,,Fuzzy Time (ns): ,325408
Finite Time (ns): ,301,,Fuzzy Time (ns): ,320901
Finite Time (ns): ,300,,Fuzzy Time (ns): ,374686
